[Rn]	[CtE3 (ITTC)]	[CfE3 (ATTC)]
1.00e+05	8.333	7.179
2.00e+05	6.882	6.137
3.00e+05	6.203	5.623
4.00e+05	5.78	5.294
5.00e+05	5.482	5.057
6.00e+05	5.254	4.875
7.00e+05	5.073	4.727
8.00e+05	4.923	4.605
9.00e+05	4.797	4.5
1.00e+06	4.688	4.409
2.00e+06	4.054	3.872
3.00e+06	3.741	3.6
4.00e+06	3.541	3.423
5.00e+06	3.397	3.294
6.00e+06	3.285	3.193
7.00e+06	3.195	3.112
8.00e+06	3.12	3.044
9.00e+06	3.056	2.985
1.00e+07	3.0	2.934
2.00e+07	2.669	2.628
3.00e+07	2.5	2.47
4.00e+07	2.39	2.365
5.00e+07	2.309	2.289
6.00e+07	2.246	2.229
7.00e+07	2.195	2.18
8.00e+07	2.162	2.138
9.00e+07	2.115	2.103
1.00e+08	2.083	2.072
2.00e+08	1.889	1.884
3.00e+08	1.788	1.784
4.00e+08	1.721	1.719
5.00e+08	1.671	1.67
6.00e+08	1.632	1.632
7.00e+08	1.601	1.6
8.00e+08	1.574	1.574
9.00e+08	1.551	1.551
1.00e+09	1.531	1.531
2.00e+09	1.407	1.408
3.00e+09	1.342	1.342
4.00e+09	1.298	1.299
5.00e+09	1.265	1.266
6.00e+09	1.24	1.24
7.00e+09	1.219	1.219
8.00e+09	1.201	1.201
9.00e+09	1.185	1.186
1.00e+10	1.172	1.172
