[Temperature C]	[nuE-6 (fresh water) m^2/sec]	[nuE-6 (fresh salt) m^2/sec]
0	1.78667	1.82844
1	1.72701	1.76915
2	1.6704	1.71306
3	1.61655	1.65988
4	1.56557	1.6094
5	1.51698	1.56142
6	1.4707	1.51584
7	1.42667	1.47242
8	1.38471	1.43102
9	1.34463	1.39152
10	1.30641	1.35383
11	1.26988	1.31773
12	1.23495	1.28324
13	1.20159	1.25028
14	1.16964	1.21862
15	1.13902	1.18831
16	1.10966	1.15916
17	1.08155	1.13125
18	1.05456	1.10438
19	1.02865	1.07854
20	1.00374	1.05372
21	0.97984	1.02981
22	0.95682	1.00678
23	0.93471	0.98457
24	0.9134	0.96315
25	0.89292	0.94252
26	0.87313	0.92255
27	0.85409	0.90331
28	0.83572	0.8847
29	0.81798	0.86671
30	0.80091	0.84931
