[Temperature C]	[density(fresh water) kg/m^3]	[density(salt water) kg/m^3]
0	999.8	1028
1	999.8	1027.9
2	999.9	1027.8
3	999.9	1027.8
4	999.9	1027.7
5	999.9	1027.6
6	999.9	1027.4
7	999.8	1027.3
8	999.8	1027.1
9	999.7	1027.0
10	999.6	1026.9
11	999.5	1026.7
12	999.4	1026.6
13	999.3	1026.3
14	999.1	1026.1
15	999.0	1025.9
16	998.9	1025.7
17	998.7	1025.4
18	998.5	1025.2
19	998.3	1025.0
20	998.1	1024.7
21	997.9	1024.4
22	997.7	1024.1
23	997.4	1023.8
24	997.2	1023.5
25	996.9	1023.2
26	996.7	1022.9
27	996.4	1022.6
28	996.2	1022.3
29	995.9	1022.0
30	995.6	1021.7
